indexid,tradedate,ticker,shortnames,secids,waprice,issue_size_total,cap_total,ff_factor,w_factor,issue_size_index,cap_index,weight,value,num_trades,volatility,factora,factorb,influence,determinat,currencyid,tradingsession
IMOEX,2013-09-05,GAZP,GAZP,GAZP,140.0,23673512900,3314291806000.0,0.46,0.6855614,7465637457,1045189244043.74,16.48,9213692588.5,65560,0.0172,0.0033,1.4436,1.1,0.7847,RUB,3
IMOEX,2013-09-05,GMKN,GMKN,GMKN,4555.0,172156822,784174324210.0,0.28,1.0,48203910,219568810778.8,3.46,1965328439.0,15954,0.0164,-0.0023,1.161,0.1,0.5603,RUB,3
IMOEX,2013-09-05,HYDR,HYDR,HYDR,0.5452,317637520094,173175975955.25,0.34,1.0,107996756832,58879831824.78,0.93,611350976.3,13367,0.0166,0.0008,0.7529,0.01,0.2296,RUB,3
IMOEX,2013-09-05,IRAO,IRAO,IRAO,0.0117,10440000997683,121793051638.97,0.18,1.0,1879200179583,21922749295.01,0.35,73268235.0,3993,0.0155,-0.0034,1.0453,0.0,0.5051,RUB,3
IMOEX,2013-09-05,LKOH,LKOH,LKOH,1993.0,850563255,1695172567215.0,0.57,0.9289614,450380046,897607432330.51,14.16,2250506599.2,18026,0.011,-0.0003,0.8649,0.46,0.6948,RUB,3
IMOEX,2013-09-05,LSRG,LSRG,LSRG,580.3,103030215,59788433764.5,0.33,1.0,33999971,19730183142.28,0.31,8901658.1,284,0.0165,0.0001,0.7276,0.01,0.2162,RUB,3
IMOEX,2013-09-05,MAGN,MAGN,MAGN,8.245,11174330000,92132350850.0,0.14,1.0,1564406200,12898529119.0,0.2,49219423.7,1639,0.0161,0.0002,1.1433,0.01,0.5662,RUB,3
IMOEX,2013-09-05,MGNT,MGNT,MGNT,7735.0,94561355,731432080925.0,0.54,0.9289614,47435678,366914971746.41,5.79,648174337.1,8990,0.0211,-0.0004,0.9725,0.16,0.237,RUB,3
IMOEX,2013-09-05,MOEX,MOEX,MOEX,62.84,2378489153,149464258374.52,0.25,1.0,594622288,37366064593.63,0.59,61238019.2,2473,0.0161,0.0024,0.6675,0.01,0.1913,RUB,3
IMOEX,2013-09-05,MRKH,MRKH,MRKH,1.045,47871694416,50025920664.72,0.3,1.0,14361508325,15007776199.42,0.24,363615231.0,5672,0.0246,-0.0024,1.2482,0.01,0.2878,RUB,3
IMOEX,2013-09-05,MSNG,MSNG,MSNG,1.088,39749359700,43247303353.6,0.15,1.0,5962403955,6487095503.04,0.1,15767599.1,871,0.0147,-0.001,0.9498,0.0,0.464,RUB,3
IMOEX,2013-09-05,MSRS,MSRS,MSRS,1.129,48707091574,54990306387.05,0.18,1.0,8767276483,9898255149.67,0.16,1857509.6,168,0.0171,-0.0031,1.0344,0.0,0.4101,RUB,3
IMOEX,2013-09-05,MSTT,MSTT,MSTT,140.0,282215500,39510170000.0,0.3,1.0,84664650,11853051000.0,0.19,2061521.5,144,0.0104,-0.0005,0.5262,0.0,0.2833,RUB,3
IMOEX,2013-09-05,MTLR,MTLR,MTLR,99.0,416270745,41210803755.0,0.35,1.0,145694761,14423781314.25,0.23,82497253.2,3185,0.0188,-0.0005,0.9836,0.0,0.3039,RUB,3
